fname,sentence,LOC
pr10002_76,11,rom
pr10002_76,12,udkantsisrael
pr10002_76,21,østerland
pr10002_76,25,østerland
pr10002_76,25,betlehem
pr10002_76,34,danmark
pr10002_76,36,saba
pr10002_76,38,asi
pr10002_76,39,ethiopi
pr10002_76,39,afrika
pr10002_76,41,grækenland
pr10002_76,41,europa
pr10002_76,44,guds paradis
pr10002_76,44,østerland
pr10002_76,46,persi
pr10002_76,47,babylon
pr10002_76,49,jerusalem
pr10002_76,49,israel
pr10002_76,68,jerusalem
pr10002_76,68,betlehem
pr10002_76,72,betlehem
pr10002_76,75,nazar
pr10002_76,89,jerusalem
pr10002_76,92,nazar
pr10002_76,99,jerusalem
pr10003_76,13,paradis
pr10003_76,15,paradis
pr10003_76,30,paradis
pr10003_76,45,paradis
pr10003_76,48,ivans paradis
pr10004_76,41,rand
pr10005_76,39,paradis
pr10006_76,16,århus
pr10006_76,17,danmark
pr10006_76,24,jord
pr10006_76,25,sovj
pr10006_76,74,helved
pr10007_76,0,tyskland
pr10008_76,10,usa
pr10008_76,10,s
pr10008_76,19,det ubegrænsede friheds paradis
pr10008_76,20,det tabte paradis
pr10008_76,43,afrika
pr10009_76,0,grækenland
pr10009_76,0,delfi
pr10009_76,1,apol
pr10009_76,2,delfi
pr10009_76,8,delfi
pr10009_76,8,grækenland
pr10009_76,24,delfi
pr10009_76,31,delfi
pr10009_76,56,delfi
pr10010_76,28,jord
pr10010_76,49,sharia
pr10010_76,78,frankr
pr10010_76,78,tyrki
pr10010_76,78,münchen
pr10010_76,79,usa
pr10010_76,80,kabul
pr10011_76,7,usa
pr10011_76,12,tordenskjold
pr10011_76,45,tyrus
pr10011_76,45,sidon
pr10011_76,47,tyrus
pr10011_76,47,sidon
pr10011_76,69,korazim
pr10011_76,69,betsajda
pr10012_76,15,kirk
pr10012_76,27,kirk
pr10013_76,14,tivoli
pr10014_76,27,himmer
pr10014_76,53,himmer
pr10015_76,17,odense domkirk
pr10015_76,23,paradis
pr10015_76,37,paradis
pr10015_76,52,helved
pr10015_76,79,vandring
pr10016_76,1,betlehem
pr10016_76,84,jerusalem
pr10016_76,87,betlehem
pr10017_76,2,danmark
pr10017_76,5,wittenberg
pr10017_76,8,danmark
pr10018_76,3,pyramid
pr10018_76,6,egypt
pr10018_76,22,nairobis
pr10018_76,23,kapisalit
pr10018_76,23,gudenå
pr10018_76,51,golgata
pr10018_76,55,jordanflod
pr10018_76,84,kors
pr10020_76,2,jerusalem
pr10020_76,10,jerusalem
pr10020_76,47,jerusalem
pr10020_76,91,jerusalem
pr10021_76,13,land
pr10021_76,16,rig
pr10021_76,36,mellemøst
pr10021_76,52,rig
pr10021_76,56,betlehem
pr10021_76,56,golgata
pr10021_76,63,rig
pr10022_76,9,danmark
pr10022_76,34,genbrugsplads
pr10022_76,65,københavns domkirk
pr10023_76,15,sver
pr10024_76,1,roskild
pr10024_76,2,danmark
pr10024_76,9,kastel
pr10024_76,12,kastel
pr10024_76,15,mathæusevangeli
pr10025_76,17,galilæas sø
pr10026_76,10,paradis
pr10028_76,12,himmer
pr10028_76,38,paradis
pr10028_76,51,egoland
pr10029_76,52,lyk
pr10030_76,2,jordan
pr10030_76,2,tyrus
pr10030_76,2,galilæa
