fname,sentence,LOC
pr10002_76,1,jord
pr10002_76,8,jord
pr10002_76,11,rom
pr10002_76,12,udkantsisrael
pr10002_76,21,østerland
pr10002_76,23,jord
pr10002_76,25,østerland
pr10002_76,25,betlehem
pr10002_76,34,danmark
pr10002_76,36,saba
pr10002_76,38,asi
pr10002_76,39,ethiopi
pr10002_76,39,afrika
pr10002_76,41,grækenland
pr10002_76,41,europa
pr10002_76,44,det mystiske østerland
pr10002_76,46,persi
pr10002_76,46,artaban
pr10002_76,47,babylon
pr10002_76,49,jerusalem
pr10002_76,49,israel
pr10002_76,54,artaban
pr10002_76,57,artaban
pr10002_76,60,artaban
pr10002_76,68,jerusalem
pr10002_76,68,betlehem
pr10002_76,72,betlehem
pr10002_76,75,nazar
pr10002_76,80,artaban
pr10002_76,89,jerusalem
pr10002_76,92,nazar
pr10002_76,92,artaban
pr10002_76,99,jerusalem
pr10002_76,100,artaban
pr10002_76,109,artaban
pr10002_76,110,artaban
pr10003_76,13,paradis
pr10003_76,15,paradis
pr10003_76,30,paradis
pr10003_76,45,paradis
pr10003_76,48,ivans paradis
pr10004_76,0,jord
pr10004_76,41,rand
pr10005_76,7,jord
pr10005_76,9,jord
pr10005_76,9,jord
pr10005_76,39,paradis
pr10005_76,41,kirkeår
pr10006_76,16,århus
pr10006_76,17,danmark
pr10006_76,24,jord
pr10006_76,25,sovj
pr10007_76,0,tyskland
pr10007_76,6,bibel
pr10007_76,9,bibl
pr10007_76,58,jord
pr10008_76,19,det ubegrænsede fri
pr10008_76,20,det tabte paradis
pr10008_76,43,afrika
pr10009_76,0,grækenland
pr10009_76,0,delfi
pr10009_76,2,delfi
pr10009_76,8,delfi
pr10009_76,8,grækenland
pr10009_76,23,delfi
pr10009_76,24,delfi
pr10009_76,26,johannestekst
pr10009_76,31,delfi
pr10009_76,40,delfi
pr10009_76,56,delfi
pr10010_76,78,frankr
pr10010_76,78,tyrki
pr10010_76,79,usa
pr10010_76,80,kabul
pr10011_76,7,usa
pr10011_76,45,de gudløses by
pr10011_76,45,tyrus
pr10011_76,45,sidon
pr10011_76,47,tyrus og sidon
pr10011_76,69,korazim
pr10011_76,69,betsajda
pr10012_76,31,jord
pr10013_76,14,tivoli
pr10014_76,27,himmer
pr10014_76,42,jord
pr10014_76,53,himmer
pr10014_76,70,det gode liv
pr10015_76,17,odense domkirk
pr10015_76,23,paradis
pr10015_76,61,jord
pr10016_76,1,betlehem
pr10016_76,46,den kristne teologi
pr10016_76,84,jerusalem
pr10016_76,87,betlehem
pr10017_76,2,danmark
pr10017_76,5,wittenberg
pr10017_76,6,den kristne kirk
pr10017_76,8,danmark
pr10017_76,62,de døde påskemorg
pr10018_76,6,egypt
pr10018_76,21,kuala lumpur
pr10018_76,22,kualalumpur
pr10018_76,22,nairobis
pr10018_76,23,kapisalit
pr10018_76,23,gudenå
pr10018_76,51,golgata
pr10018_76,55,jordanflod
pr10018_76,88,kors
pr10020_76,2,jerusalem
pr10020_76,10,jerusalem
pr10020_76,44,markusevangeli
pr10020_76,47,jerusalem
pr10020_76,91,jerusalem
pr10021_76,10,det kolde nord
pr10021_76,36,mellemøst
pr10021_76,52,rig
pr10021_76,56,betlehem
pr10021_76,56,golgata
pr10022_76,2,det kirkeår
pr10022_76,2,trinitatis
pr10022_76,9,danmark
pr10022_76,61,kirkeår
pr10022_76,65,københavns domkirk
pr10022_76,65,thorvalds
pr10023_76,15,sver
pr10024_76,1,roskild
pr10024_76,2,danmark
pr10024_76,9,kastel
pr10024_76,12,kastel
pr10024_76,15,mathæusevangeli
pr10024_76,44,jord
pr10024_76,45,rig
pr10025_76,17,galilæas sø
pr10025_76,51,pins
pr10025_76,52,pins
pr10025_76,56,verd
pr10026_76,10,paradis
pr10028_76,55,bibl
pr10030_76,2,jordans bred
pr10030_76,2,tyrus
pr10030_76,2,galilæa
pr10030_76,2,jerusalem
pr10030_76,5,galilæa
pr10030_76,5,judæas højslet
pr10031_76,8,betlehem
pr10031_76,8,nazareth
pr10031_76,8,israel
pr10031_76,18,kors
pr10031_76,47,jord
pr10032_76,2,betlehem
pr10032_76,7,hund
pr10032_76,7,kildebrønde  sender vi
pr10033_76,3,wittenberg
pr10033_76,21,kirk
pr10033_76,42,betlehem
pr10033_76,54,jord
pr10034_77,0,ledøjesmørum sogn
pr10034_77,2,ledøje kirk
pr10034_77,4,danmark
pr10034_77,10,usa
pr10034_77,95,det store hav
pr10036_77,14,himmer
pr10036_77,19,lazarus
pr10036_77,31,lazarus
pr10036_77,41,lazarus
pr10036_77,114,jord
pr10037_77,59,paradisets hav
pr10037_77,61,eva
pr10037_77,86,paradisets hav
pr10037_77,86,ørken
pr10037_77,94,ørken
pr10038_77,68,kana
pr10038_77,152,nazareth
pr10038_77,155,kana
pr10039_77,31,daglej
pr10039_77,55,johannesevangeli
pr10039_77,57,langfredag
pr10040_77,13,israel
pr10040_77,42,israels hus
pr10040_77,95,danmark
pr10040_77,109,kanaan
pr10040_77,117,kanaan
pr10041_77,1,mindelund
pr10041_77,1,hellerup
pr10041_77,2,danmark
pr10041_77,4,danmark
pr10041_77,13,danmark
pr10041_77,14,mindelund
pr10042_77,1,danmark
pr10042_77,3,valby
pr10042_77,10,kroati
pr10042_77,27,valby
pr10042_77,31,oldkirk
pr10042_77,95,genesaret sø
pr10043_77,8,jord
pr10043_77,10,usa
pr10043_77,11,usa
pr10043_77,12,usa
pr10043_77,17,hjørring
pr10043_77,17,brønderslevsag
pr10043_77,35,syri
pr10043_77,36,usa
pr10044_77,22,denne verd
pr10044_77,37,sver
pr10044_77,39,sver
pr10044_77,101,tyskland
pr10044_77,102,kina
pr10044_77,103,sovj
pr10044_77,103,cambodja
pr10044_77,104,balkan
pr10044_77,115,afghanistan
pr10044_77,122,afghanistan
pr10044_77,123,danmark
pr10044_77,123,afghanistan
pr10044_77,130,afghanistan
pr10045_77,1,egypt
pr10045_77,1,pakistan
pr10045_77,1,saudi arabi
pr10045_77,1,kina
pr10045_77,1,vietnam
pr10045_77,2,mellemøst
pr10045_77,3,egypt
pr10045_77,6,canada
pr10045_77,9,cairo
pr10045_77,11,mellemøst
