fname,sentence,LOC
pr10002_76,11,rom
pr10002_76,12,udkantsisrael
pr10002_76,21,østerland
pr10002_76,25,østerland
pr10002_76,25,betlehem
pr10002_76,34,danmark
pr10002_76,36,saba
pr10002_76,38,asien
pr10002_76,39,ethiopien
pr10002_76,39,afrika
pr10002_76,41,grækenland
pr10002_76,41,europa
pr10002_76,44,guds paradis
pr10002_76,44,østerland
pr10002_76,46,persien
pr10002_76,47,babylon
pr10002_76,49,jerusalem
pr10002_76,49,israels
pr10002_76,68,jerusalem
pr10002_76,68,betlehem
pr10002_76,72,betlehem
pr10002_76,75,nazaret
pr10002_76,89,jerusalem
pr10002_76,92,nazaret
pr10002_76,99,jerusalem
pr10003_76,13,paradis
pr10003_76,15,paradis
pr10003_76,30,paradis
pr10003_76,45,paradis
pr10003_76,48,ivans paradis
pr10004_76,41,randers
pr10005_76,39,paradis
pr10006_76,16,århus
pr10006_76,17,danmark
pr10006_76,24,jorden
pr10006_76,25,sovjet
pr10006_76,74,helvede
pr10007_76,0,tyskland
pr10008_76,10,usa
pr10008_76,19,det ubegrænsede friheds paradis
pr10008_76,20,det tabte paradis
pr10008_76,43,afrika
pr10009_76,0,grækenland
pr10009_76,0,delfi
pr10009_76,1,apollen
pr10009_76,2,delfi
pr10009_76,8,delfi
pr10009_76,8,grækenland
pr10009_76,24,delfi
pr10009_76,31,delfi
pr10009_76,56,delfi
pr10010_76,28,jorden
pr10010_76,49,sharia
pr10010_76,78,frankrig
pr10010_76,78,tyrkiet
pr10010_76,78,münchen
pr10010_76,79,usa
pr10010_76,80,kabul
pr10011_76,7,usa
pr10011_76,12,tordenskjolds
pr10011_76,45,tyrus
pr10011_76,45,sidon
pr10011_76,47,tyrus
pr10011_76,47,sidon
pr10011_76,69,korazim
pr10011_76,69,betsajda
pr10012_76,15,kirken
pr10012_76,27,kirken
pr10013_76,14,tivoli
pr10014_76,27,himmeriget
pr10014_76,53,himmeriget
pr10015_76,17,odense domkirke
pr10015_76,23,paradis
pr10015_76,37,paradisets
pr10015_76,52,helvede
pr10015_76,79,vandring
pr10016_76,1,betlehem
pr10016_76,84,jerusalem
pr10016_76,87,betlehem
pr10017_76,2,danmark
pr10017_76,5,wittenberg
pr10017_76,8,danmark
pr10018_76,3,pyramider
pr10018_76,6,egypten
pr10018_76,22,nairobis
pr10018_76,23,kapisalit
pr10018_76,23,gudenå
pr10018_76,51,golgata
pr10018_76,55,jordanflodens
pr10018_76,84,korset
pr10020_76,2,jerusalem
pr10020_76,10,jerusalem
pr10020_76,47,jerusalem
pr10020_76,91,jerusalem
pr10021_76,13,land
pr10021_76,16,riget
pr10021_76,36,mellemøstens
pr10021_76,52,riget
pr10021_76,56,betlehem
pr10021_76,56,golgata
pr10021_76,63,riget
pr10022_76,9,danmark
pr10022_76,34,genbrugspladsen
pr10022_76,65,københavns domkirke
pr10023_76,15,sverige
pr10024_76,1,roskilde
pr10024_76,2,danmarks
pr10024_76,9,kastellet
pr10024_76,12,kastellet
pr10024_76,15,mathæusevangeliet
pr10025_76,17,galilæas sø
pr10026_76,10,paradis
pr10028_76,12,himmeriget
pr10028_76,38,paradis
pr10028_76,51,egoland
pr10029_76,52,lykkens
pr10030_76,2,jordans
pr10030_76,2,tyrus
