Source,Type,Target,Weight
hillerød,undirected,hostrup salm,2
jord,undirected,møn,2
bibl,undirected,møn,1
kastani,undirected,møn,1
møn,undirected,paradis,1
bibl,undirected,jord,20
jord,undirected,kastani,1
jord,undirected,paradis,191
bibl,undirected,kastani,1
bibl,undirected,paradis,12
kastani,undirected,paradis,1
asi,undirected,betlehem,9
artaban,undirected,betlehem,5
betlehem,undirected,det mystiske østerland,1
betlehem,undirected,persi,10
afrika,undirected,betlehem,20
betlehem,undirected,israel,134
betlehem,undirected,rom,46
babylon,undirected,betlehem,24
betlehem,undirected,nazar,57
betlehem,undirected,saba,8
betlehem,undirected,ethiopi,2
betlehem,undirected,jerusalem,171
betlehem,undirected,jord,223
betlehem,undirected,udkantsisrael,4
betlehem,undirected,grækenland,8
betlehem,undirected,danmark,89
betlehem,undirected,østerland,56
betlehem,undirected,europa,43
artaban,undirected,asi,1
asi,undirected,det mystiske østerland,2
asi,undirected,persi,2
afrika,undirected,asi,21
asi,undirected,israel,15
asi,undirected,rom,5
asi,undirected,babylon,1
asi,undirected,nazar,1
asi,undirected,saba,3
asi,undirected,ethiopi,4
asi,undirected,jerusalem,13
asi,undirected,jord,20
asi,undirected,udkantsisrael,1
asi,undirected,grækenland,4
asi,undirected,danmark,14
asi,undirected,østerland,7
asi,undirected,europa,18
artaban,undirected,det mystiske østerland,1
artaban,undirected,persi,2
afrika,undirected,artaban,1
artaban,undirected,israel,2
artaban,undirected,rom,1
artaban,undirected,babylon,4
artaban,undirected,nazar,3
artaban,undirected,saba,1
artaban,undirected,ethiopi,1
artaban,undirected,jerusalem,5
artaban,undirected,jord,3
artaban,undirected,udkantsisrael,1
artaban,undirected,grækenland,1
artaban,undirected,danmark,1
artaban,undirected,østerland,3
artaban,undirected,europa,1
det mystiske østerland,undirected,persi,1
afrika,undirected,det mystiske østerland,2
det mystiske østerland,undirected,israel,2
det mystiske østerland,undirected,rom,1
babylon,undirected,det mystiske østerland,1
det mystiske østerland,undirected,nazar,1
det mystiske østerland,undirected,saba,2
det mystiske østerland,undirected,ethiopi,2
det mystiske østerland,undirected,jerusalem,2
det mystiske østerland,undirected,jord,1
det mystiske østerland,undirected,udkantsisrael,1
det mystiske østerland,undirected,grækenland,2
danmark,undirected,det mystiske østerland,1
det mystiske østerland,undirected,østerland,2
det mystiske østerland,undirected,europa,2
afrika,undirected,persi,1
israel,undirected,persi,11
persi,undirected,rom,3
babylon,undirected,persi,6
nazar,undirected,persi,2
persi,undirected,saba,3
ethiopi,undirected,persi,1
jerusalem,undirected,persi,6
jord,undirected,persi,8
persi,undirected,udkantsisrael,1
grækenland,undirected,persi,2
danmark,undirected,persi,2
persi,undirected,østerland,8
europa,undirected,persi,2
afrika,undirected,israel,41
afrika,undirected,rom,12
afrika,undirected,babylon,3
afrika,undirected,nazar,4
afrika,undirected,saba,3
afrika,undirected,ethiopi,7
afrika,undirected,jerusalem,41
afrika,undirected,jord,56
afrika,undirected,udkantsisrael,1
afrika,undirected,grækenland,5
afrika,undirected,danmark,59
afrika,undirected,østerland,14
afrika,undirected,europa,46
israel,undirected,rom,58
babylon,undirected,israel,36
israel,undirected,nazar,63
israel,undirected,saba,9
ethiopi,undirected,israel,4
israel,undirected,jerusalem,389
israel,undirected,jord,258
israel,undirected,udkantsisrael,4
grækenland,undirected,israel,10
danmark,undirected,israel,168
israel,undirected,østerland,28
europa,undirected,israel,40
babylon,undirected,rom,4
nazar,undirected,rom,23
rom,undirected,saba,1
ethiopi,undirected,rom,1
jerusalem,undirected,rom,100
jord,undirected,rom,95
rom,undirected,udkantsisrael,2
grækenland,undirected,rom,12
danmark,undirected,rom,67
rom,undirected,østerland,4
europa,undirected,rom,16
babylon,undirected,nazar,7
babylon,undirected,saba,3
babylon,undirected,ethiopi,1
babylon,undirected,jerusalem,40
babylon,undirected,jord,16
babylon,undirected,udkantsisrael,2
babylon,undirected,grækenland,3
babylon,undirected,danmark,18
babylon,undirected,østerland,13
babylon,undirected,europa,3
nazar,undirected,saba,1
ethiopi,undirected,nazar,1
jerusalem,undirected,nazar,93
jord,undirected,nazar,81
nazar,undirected,udkantsisrael,3
grækenland,undirected,nazar,3
danmark,undirected,nazar,42
nazar,undirected,østerland,8
europa,undirected,nazar,13
ethiopi,undirected,saba,3
jerusalem,undirected,saba,3
jord,undirected,saba,4
saba,undirected,udkantsisrael,1
grækenland,undirected,saba,3
danmark,undirected,saba,1
saba,undirected,østerland,6
europa,undirected,saba,3
ethiopi,undirected,jerusalem,3
ethiopi,undirected,jord,1
ethiopi,undirected,udkantsisrael,1
ethiopi,undirected,grækenland,3
danmark,undirected,ethiopi,3
ethiopi,undirected,østerland,2
ethiopi,undirected,europa,5
jerusalem,undirected,jord,416
jerusalem,undirected,udkantsisrael,11
grækenland,undirected,jerusalem,18
danmark,undirected,jerusalem,249
jerusalem,undirected,østerland,39
europa,undirected,jerusalem,59
jord,undirected,udkantsisrael,4
grækenland,undirected,jord,9
danmark,undirected,jord,287
jord,undirected,østerland,32
europa,undirected,jord,64
grækenland,undirected,udkantsisrael,1
danmark,undirected,udkantsisrael,4
udkantsisrael,undirected,østerland,2
europa,undirected,udkantsisrael,1
danmark,undirected,grækenland,16
grækenland,undirected,østerland,3
europa,undirected,grækenland,8
danmark,undirected,østerland,13
danmark,undirected,europa,92
europa,undirected,østerland,14
ivans paradis,undirected,paradis,2
jord,undirected,rand,1
kirkeår,undirected,paradis,10
jord,undirected,kirkeår,36
jord,undirected,århus,18
danmark,undirected,århus,26
sovj,undirected,århus,1
jord,undirected,sovj,3
danmark,undirected,sovj,6
bibel,undirected,bibl,2
bibl,undirected,tyskland,2
bibel,undirected,tyskland,1
bibel,undirected,jord,35
jord,undirected,tyskland,30
det tabte paradis,undirected,det ubegrænsede fri,1
afrika,undirected,det tabte paradis,1
afrika,undirected,det ubegrænsede fri,1
grækenland,undirected,johannestekst,2
delfi,undirected,grækenland,3
delfi,undirected,johannestekst,2
gaza,undirected,syri,5
gaza,undirected,shi lanka,1
gaza,undirected,torar,1
danmark,undirected,gaza,4
afrika,undirected,gaza,1
fitnisscent,undirected,gaza,1
shi lanka,undirected,syri,1
syri,undirected,torar,1
danmark,undirected,syri,78
afrika,undirected,syri,24
fitnisscent,undirected,syri,1
shi lanka,undirected,torar,1
danmark,undirected,shi lanka,1
afrika,undirected,shi lanka,1
fitnisscent,undirected,shi lanka,1
danmark,undirected,torar,1
afrika,undirected,torar,1
fitnisscent,undirected,torar,1
danmark,undirected,fitnisscent,2
afrika,undirected,fitnisscent,1
kabul,undirected,usa,1
kabul,undirected,tyrki,1
frankr,undirected,kabul,1
tyrki,undirected,usa,5
frankr,undirected,usa,6
frankr,undirected,tyrki,3
sidon,undirected,usa,2
tyrus,undirected,usa,1
korazim,undirected,usa,1
betsajda,undirected,usa,2
de gudløses by,undirected,usa,1
tyrus og sidon,undirected,usa,1
sidon,undirected,tyrus,20
korazim,undirected,sidon,1
betsajda,undirected,sidon,6
de gudløses by,undirected,sidon,1
sidon,undirected,tyrus og sidon,1
korazim,undirected,tyrus,1
betsajda,undirected,tyrus,6
de gudløses by,undirected,tyrus,1
tyrus,undirected,tyrus og sidon,1
betsajda,undirected,korazim,1
de gudløses by,undirected,korazim,1
korazim,undirected,tyrus og sidon,1
betsajda,undirected,de gudløses by,1
betsajda,undirected,tyrus og sidon,1
de gudløses by,undirected,tyrus og sidon,1
himmer,undirected,jord,99
det gode liv,undirected,himmer,1
det gode liv,undirected,jord,4
odense domkirk,undirected,paradis,2
jord,undirected,odense domkirk,1
betlehem,undirected,den kristne teologi,1
den kristne teologi,undirected,jerusalem,1
danmark,undirected,wittenberg,6
de døde påskemorg,undirected,wittenberg,1
den kristne kirk,undirected,wittenberg,1
danmark,undirected,de døde påskemorg,1
danmark,undirected,den kristne kirk,13
de døde påskemorg,undirected,den kristne kirk,1
egypt,undirected,kapisalit,1
egypt,undirected,gudenå,1
egypt,undirected,kuala lumpur,1
egypt,undirected,jordanflod,4
egypt,undirected,golgata,5
egypt,undirected,kors,14
egypt,undirected,nairobis,1
egypt,undirected,kualalumpur,1
gudenå,undirected,kapisalit,1
kapisalit,undirected,kuala lumpur,1
jordanflod,undirected,kapisalit,1
golgata,undirected,kapisalit,1
kapisalit,undirected,kors,1
kapisalit,undirected,nairobis,1
kapisalit,undirected,kualalumpur,1
gudenå,undirected,kuala lumpur,1
gudenå,undirected,jordanflod,1
golgata,undirected,gudenå,1
gudenå,undirected,kors,1
gudenå,undirected,nairobis,1
gudenå,undirected,kualalumpur,1
jordanflod,undirected,kuala lumpur,1
golgata,undirected,kuala lumpur,1
kors,undirected,kuala lumpur,1
kuala lumpur,undirected,nairobis,1
