Source,Type,Target,Weight
himlen,undirected,møn,1
møn,undirected,paradis,1
himlen,undirected,paradis,40
guds paradis,undirected,saba,1
asien,undirected,guds paradis,1
guds paradis,undirected,østerland,1
grækenland,undirected,guds paradis,1
danmark,undirected,guds paradis,1
guds paradis,undirected,udkantsisrael,1
guds paradis,undirected,israels,1
europa,undirected,guds paradis,1
babylon,undirected,guds paradis,1
guds paradis,undirected,jerusalem,1
guds paradis,undirected,nazaret,1
guds paradis,undirected,persien,1
guds paradis,undirected,rom,1
betlehem,undirected,guds paradis,1
ethiopien,undirected,guds paradis,1
afrika,undirected,guds paradis,1
asien,undirected,saba,5
saba,undirected,østerland,10
grækenland,undirected,saba,3
danmark,undirected,saba,2
saba,undirected,udkantsisrael,1
israels,undirected,saba,7
europa,undirected,saba,5
babylon,undirected,saba,6
jerusalem,undirected,saba,6
nazaret,undirected,saba,1
persien,undirected,saba,5
rom,undirected,saba,1
betlehem,undirected,saba,13
ethiopien,undirected,saba,3
afrika,undirected,saba,6
asien,undirected,østerland,7
asien,undirected,grækenland,4
asien,undirected,danmark,13
asien,undirected,udkantsisrael,1
asien,undirected,israels,10
asien,undirected,europa,18
asien,undirected,babylon,1
asien,undirected,jerusalem,13
asien,undirected,nazaret,1
asien,undirected,persien,2
asien,undirected,rom,5
asien,undirected,betlehem,9
asien,undirected,ethiopien,4
afrika,undirected,asien,21
grækenland,undirected,østerland,3
danmark,undirected,østerland,11
udkantsisrael,undirected,østerland,1
israels,undirected,østerland,10
europa,undirected,østerland,13
babylon,undirected,østerland,14
jerusalem,undirected,østerland,36
nazaret,undirected,østerland,7
persien,undirected,østerland,8
rom,undirected,østerland,2
betlehem,undirected,østerland,55
ethiopien,undirected,østerland,2
afrika,undirected,østerland,14
danmark,undirected,grækenland,15
grækenland,undirected,udkantsisrael,1
grækenland,undirected,israels,4
europa,undirected,grækenland,8
babylon,undirected,grækenland,4
grækenland,undirected,jerusalem,16
grækenland,undirected,nazaret,3
grækenland,undirected,persien,2
grækenland,undirected,rom,10
betlehem,undirected,grækenland,7
ethiopien,undirected,grækenland,3
afrika,undirected,grækenland,5
danmark,undirected,udkantsisrael,4
danmark,undirected,israels,39
danmark,undirected,europa,77
babylon,undirected,danmark,19
danmark,undirected,jerusalem,235
danmark,undirected,nazaret,45
danmark,undirected,persien,2
danmark,undirected,rom,58
betlehem,undirected,danmark,83
danmark,undirected,ethiopien,3
afrika,undirected,danmark,56
israels,undirected,udkantsisrael,1
europa,undirected,udkantsisrael,1
babylon,undirected,udkantsisrael,2
jerusalem,undirected,udkantsisrael,7
nazaret,undirected,udkantsisrael,2
persien,undirected,udkantsisrael,1
rom,undirected,udkantsisrael,2
betlehem,undirected,udkantsisrael,4
ethiopien,undirected,udkantsisrael,1
afrika,undirected,udkantsisrael,1
europa,undirected,israels,18
babylon,undirected,israels,20
israels,undirected,jerusalem,131
israels,undirected,nazaret,26
israels,undirected,persien,4
israels,undirected,rom,17
betlehem,undirected,israels,36
ethiopien,undirected,israels,3
afrika,undirected,israels,14
babylon,undirected,europa,3
europa,undirected,jerusalem,57
europa,undirected,nazaret,12
europa,undirected,persien,2
europa,undirected,rom,14
betlehem,undirected,europa,42
ethiopien,undirected,europa,5
afrika,undirected,europa,43
babylon,undirected,jerusalem,40
babylon,undirected,nazaret,7
babylon,undirected,persien,6
babylon,undirected,rom,4
babylon,undirected,betlehem,25
babylon,undirected,ethiopien,1
afrika,undirected,babylon,4
jerusalem,undirected,nazaret,94
jerusalem,undirected,persien,5
jerusalem,undirected,rom,96
betlehem,undirected,jerusalem,166
ethiopien,undirected,jerusalem,3
afrika,undirected,jerusalem,38
nazaret,undirected,persien,2
nazaret,undirected,rom,21
betlehem,undirected,nazaret,59
ethiopien,undirected,nazaret,1
afrika,undirected,nazaret,4
persien,undirected,rom,3
betlehem,undirected,persien,10
ethiopien,undirected,persien,1
afrika,undirected,persien,1
betlehem,undirected,rom,45
ethiopien,undirected,rom,1
afrika,undirected,rom,12
betlehem,undirected,ethiopien,2
afrika,undirected,betlehem,19
afrika,undirected,ethiopien,7
ivans paradis,undirected,paradis,2
danmark,undirected,jorden,38
helvede,undirected,jorden,8
jorden,undirected,sovjet,2
jorden,undirected,århus,5
danmark,undirected,helvede,28
danmark,undirected,sovjet,6
danmark,undirected,århus,24
helvede,undirected,sovjet,1
helvede,undirected,århus,3
sovjet,undirected,århus,1
afrika,undirected,usa,15
afrika,undirected,det ubegrænsede friheds paradis,1
afrika,undirected,det tabte paradis,1
det ubegrænsede friheds paradis,undirected,usa,1
det tabte paradis,undirected,usa,1
det tabte paradis,undirected,det ubegrænsede friheds paradis,1
apollen,undirected,grækenland,2
apollen,undirected,delfi,2
delfi,undirected,grækenland,4
gaza,undirected,syrien,5
danmark,undirected,syrien,72
shi lanka,undirected,syrien,1
afrika,undirected,syrien,20
danmark,undirected,gaza,4
gaza,undirected,shi lanka,1
afrika,undirected,gaza,1
danmark,undirected,shi lanka,1
afrika,undirected,shi lanka,1
jorden,undirected,kabul,2
kabul,undirected,münchen,1
kabul,undirected,tyrkiet,1
frankrig,undirected,kabul,1
kabul,undirected,usa,1
kabul,undirected,sharia,1
jorden,undirected,münchen,1
jorden,undirected,tyrkiet,3
frankrig,undirected,jorden,7
jorden,undirected,usa,19
jorden,undirected,sharia,1
münchen,undirected,tyrkiet,1
frankrig,undirected,münchen,1
münchen,undirected,usa,1
münchen,undirected,sharia,1
frankrig,undirected,tyrkiet,2
tyrkiet,undirected,usa,5
sharia,undirected,tyrkiet,1
frankrig,undirected,usa,5
frankrig,undirected,sharia,1
sharia,undirected,usa,1
korazim,undirected,tyrus,1
betsajda,undirected,tyrus,9
sidon,undirected,tyrus,30
tordenskjolds,undirected,tyrus,1
tyrus,undirected,usa,2
betsajda,undirected,korazim,1
korazim,undirected,sidon,1
korazim,undirected,tordenskjolds,1
korazim,undirected,usa,1
betsajda,undirected,sidon,9
betsajda,undirected,tordenskjolds,1
betsajda,undirected,usa,2
